player_name,events,zone,p_throws,hit_location,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,hc_x,hc_y
Franklin Gutierrez,Single,5,L,8,2,0,null,null,429664,2,3,116.74,85.79
Franklin Gutierrez,Double,7,L,7,3,2,502523,null,547982,2,7,40.6,110.21
Franklin Gutierrez,Single,5,L,8,2,0,null,null,null,1,5,109.47,83.25
Franklin Gutierrez,Home Run,8,L,9,1,1,null,null,null,2,2,183.75,46.12
Franklin Gutierrez,Home Run,5,L,7,2,0,null,null,628338,0,5,59.89,30.86
Franklin Gutierrez,Single,3,L,8,2,2,null,null,null,1,3,141.11,85.28
Franklin Gutierrez,Single,6,L,8,2,2,null,null,null,2,5,149.23,103.09
Franklin Gutierrez,Home Run,6,L,9,0,0,null,null,null,0,3,232.66,91.73
Franklin Gutierrez,Single,6,L,8,1,0,null,null,null,1,1,110.65,79.18
Franklin Gutierrez,Home Run,1,L,7,1,1,null,547982,606466,2,6,45.68,38.49
Franklin Gutierrez,Single,6,L,8,3,1,null,null,606466,0,1,103.55,104.1
Franklin Gutierrez,Single,6,L,5,0,2,null,502523,null,2,5,114.21,184.47
Franklin Gutierrez,Single,7,L,7,2,2,null,null,null,1,6,104.05,80.7
Franklin Gutierrez,Home Run,4,L,7,0,0,null,null,null,0,3,14.2,72.57
Franklin Gutierrez,Double,6,L,9,1,1,572122,493114,606466,2,4,229.95,79.18
Franklin Gutierrez,Single,8,L,7,3,2,null,null,null,1,5,65.98,103.09
Franklin Gutierrez,Double,8,L,7,2,0,null,null,null,0,7,55.32,123.94
Franklin Gutierrez,Single,8,L,8,2,2,502523,493114,null,2,7,126.91,91.05
Franklin Gutierrez,Single,4,L,8,1,2,null,null,493114,0,1,118.28,84.94
Franklin Gutierrez,Home Run,2,R,8,2,1,null,452252,null,2,9,141.79,27.44
Franklin Gutierrez,Single,1,R,7,1,1,null,572122,452252,0,2,89.85,109.36
Franklin Gutierrez,Home Run,9,L,9,0,1,null,null,null,1,1,224.37,80.87
Franklin Gutierrez,Double,6,R,8,1,1,null,null,null,0,8,128.94,36.11
Franklin Gutierrez,Single,6,L,7,2,0,null,null,621035,2,8,79.7,97.66
Franklin Gutierrez,Home Run,5,L,7,2,0,443558,null,493193,1,4,33,47.3
Franklin Gutierrez,Single,6,L,8,3,1,null,null,null,1,6,120.82,91.05
Franklin Gutierrez,Home Run,9,L,9,3,1,null,null,606466,0,1,185.29,40.69
Franklin Gutierrez,Single,4,L,9,1,1,null,null,null,2,6,153.3,112.41
Franklin Gutierrez,Single,7,L,7,1,0,null,null,null,2,5,75.29,94.33
Franklin Gutierrez,Double,7,L,7,3,2,null,null,493114,1,9,80.21,61.04
Franklin Gutierrez,Single,8,L,7,0,2,null,null,493114,1,7,83.25,113.94
Franklin Gutierrez,Single,6,L,7,1,0,null,null,null,1,7,83.25,99.19
Guillermo Heredia,Single,5,L,1,0,1,null,null,null,0,1,116.24,191.08
Guillermo Heredia,Single,2,R,1,1,0,null,null,null,0,8,130.96,194.64
Guillermo Heredia,Single,9,R,8,2,1,null,null,null,1,7,133.45,101.72
Guillermo Heredia,Single,2,L,4,1,2,null,null,502523,1,3,152.79,153.95
Guillermo Heredia,Single,6,L,9,0,1,null,null,null,1,5,181.72,113.26
Guillermo Heredia,Single,1,R,8,3,1,null,null,null,0,9,118.87,94.22
Guillermo Heredia,Single,8,L,8,3,2,null,null,502523,1,3,127.91,99.02
Guillermo Heredia,Double,6,L,9,0,0,null,502523,null,2,2,202.03,133.6
Guillermo Heredia,Single,2,R,8,0,2,null,null,null,2,5,114.21,93.42
Guillermo Heredia,Single,9,L,4,2,1,null,null,null,0,5,132.99,144.79
Guillermo Heredia,Single,4,L,8,2,2,null,null,null,0,1,98.47,77.65
Guillermo Heredia,Home Run,4,L,7,1,0,null,null,null,0,3,34.51,58.32
Guillermo Heredia,Single,5,L,9,2,2,null,547982,596143,0,8,194.92,130.55
Jesus Sucre,Double,1,L,8,1,0,null,null,null,0,3,115.25,45.3
Jesus Sucre,Double,3,R,9,2,1,null,null,null,0,3,215.73,108.17
Jesus Sucre,Single,7,R,5,0,0,429664,443558,452252,1,3,118.73,191.11
Jesus Sucre,Single,2,L,8,1,1,null,null,null,0,5,125.88,90.88
Jesus Sucre,Single,7,L,8,1,1,493193,547982,null,2,1,138.07,87.83
Jesus Sucre,Single,5,R,4,2,0,null,null,null,0,3,130.96,135.64
Ketel Marte,Single,5,R,8,1,0,null,547982,572287,2,8,128.93,89.35
Ketel Marte,Single,1,R,8,0,0,null,null,547982,1,2,91.87,94.95
Ketel Marte,Single,4,L,6,2,2,547982,null,572287,2,3,103.55,164.12
Ketel Marte,Single,4,R,9,2,2,null,null,491696,1,2,164.97,121.9
Ketel Marte,Double,9,R,8,2,1,null,null,null,2,4,154.02,52.4
Ketel Marte,Single,4,R,4,1,0,null,null,null,1,7,142.13,154.97
Ketel Marte,Single,4,R,8,0,0,592325,null,547982,0,9,131.97,99.02
Ketel Marte,Single,5,R,7,0,1,null,null,null,1,8,95.93,75.62
Ketel Marte,Single,5,L,8,0,2,null,null,null,0,4,118.78,93.42
Ketel Marte,Single,6,R,9,0,1,null,null,null,1,3,149.23,94.95
Ketel Marte,Double,4,L,7,0,1,null,null,null,0,6,46.69,111.22
Ketel Marte,Single,2,R,7,0,0,null,null,null,1,5,93.39,125.47
Ketel Marte,Single,5,R,7,2,1,null,null,null,1,5,73.6,123.43
Ketel Marte,Double,5,R,8,0,2,null,null,null,2,3,126.9,39
Ketel Marte,Single,2,R,7,2,2,null,null,null,0,1,92.38,114.28
Ketel Marte,Single,6,R,9,1,1,null,null,null,2,7,171.57,95.46
Ketel Marte,Single,9,R,7,1,2,null,null,455104,0,3,107.61,117.84
Ketel Marte,Double,7,R,9,0,1,429711,null,455104,1,4,200,141.74
Ketel Marte,Single,9,L,8,0,1,null,null,null,0,1,117.76,101.05
Ketel Marte,Single,1,R,9,1,1,null,null,502523,2,9,176.65,114.28
Ketel Marte,Double,9,R,9,2,0,455104,null,493114,1,2,207.1,83.25
Ketel Marte,Single,2,R,3,0,0,null,null,null,0,4,142.63,182.43
Ketel Marte,Double,6,L,9,3,2,null,null,null,2,8,201.01,144.29
Ketel Marte,Single,7,L,7,0,0,null,null,null,0,1,51.77,87.32
Ketel Marte,Single,7,L,6,0,1,null,572122,493114,2,4,101.52,145.81
Ketel Marte,Single,4,R,7,1,1,null,null,null,0,8,84.18,98.39
Ketel Marte,Single,9,L,9,1,1,null,null,null,0,1,169.03,101.05
Ketel Marte,Single,7,R,7,0,1,null,null,null,2,2,74.1,136.15
Ketel Marte,Single,9,R,9,2,2,null,null,null,1,3,179.69,108.17
Ketel Marte,Single,8,L,5,0,0,null,null,null,0,5,112.19,172.43
Ketel Marte,Single,1,R,6,2,2,null,null,null,2,6,100.51,156.66
Ketel Marte,Triple,6,L,8,0,0,455104,547982,493114,1,6,177.67,59
Ketel Marte,Single,8,L,7,1,2,null,null,null,0,1,74.11,106.31
Ketel Marte,Single,3,L,9,3,2,null,null,null,2,4,183.25,137.84
Ketel Marte,Double,2,L,7,0,0,null,null,493114,0,1,53.81,97.15
Ketel Marte,Double,7,L,7,3,1,null,null,null,0,3,45.18,108.34
Ketel Marte,Home Run,2,R,9,0,0,null,547982,493114,0,6,183.25,42.73
Ketel Marte,Triple,6,R,9,1,1,443558,572122,452252,2,7,225.39,103.25
Ketel Marte,Single,7,R,3,2,2,null,null,455104,0,7,142.64,179.55
Ketel Marte,Double,4,L,7,0,0,null,null,493114,2,5,47.96,85.2
Ketel Marte,Single,8,R,8,2,2,null,null,null,0,9,121.83,108.34
Ketel Marte,Single,7,R,4,2,2,null,null,null,2,9,116.33,168.14
Ketel Marte,Single,5,R,9,0,0,null,null,null,0,6,182.75,114.44
Ketel Marte,Single,4,R,6,1,1,null,null,null,1,7,106.09,149.03
Ketel Marte,Single,2,R,8,0,2,null,493193,493114,1,7,126.4,93.08
Ketel Marte,Single,9,L,8,0,0,null,null,null,0,10,134.54,76.96
Ketel Marte,Single,6,L,6,0,0,null,596143,null,2,5,115.74,171.41
Ketel Marte,Single,5,L,4,0,1,null,null,493114,1,7,150.26,148.52
Ketel Marte,Single,2,R,8,0,1,null,null,null,0,7,116.25,107.32
Ketel Marte,Single,1,R,7,2,2,null,null,null,1,9,87.82,113.94
Ketel Marte,Single,4,L,8,3,2,null,null,493114,0,1,123.49,102.66
Kyle Seager,Single,2,R,5,3,2,null,null,null,0,2,102.02,152.42
Kyle Seager,Double,4,R,8,3,1,null,null,null,0,3,121.82,30.86
Kyle Seager,Single,4,R,1,3,2,null,null,null,2,4,141.11,183.45
Kyle Seager,Double,4,L,8,0,1,null,443558,null,0,7,75.12,50.19
Kyle Seager,Double,4,R,9,2,0,null,452234,443558,2,1,182.28,65.76
Kyle Seager,Single,7,R,9,2,2,null,null,null,2,7,185.27,121.9
Kyle Seager,Home Run,3,R,9,0,0,null,null,null,0,5,207.88,68.16
Kyle Seager,Home Run,6,R,9,1,2,null,null,null,0,7,231.45,78.39
Kyle Seager,Single,8,R,9,0,1,null,443558,null,2,1,192.66,100.21
Kyle Seager,Home Run,6,L,9,1,0,null,null,443558,1,3,210.15,39
Kyle Seager,Double,4,L,9,2,0,null,null,443558,0,6,208.12,114.28
Kyle Seager,Single,4,R,3,3,2,null,null,null,1,2,129.94,182.94
Kyle Seager,Single,5,R,9,3,1,null,null,null,1,8,175.12,99.52
Kyle Seager,Single,5,L,9,0,0,null,null,null,1,6,181.72,107.66
Kyle Seager,Home Run,6,R,8,2,2,null,null,null,1,8,142.63,26.79
Kyle Seager,Single,4,L,9,2,1,502523,429664,429711,1,5,171.06,114.28
Kyle Seager,Single,8,L,4,2,1,null,null,null,0,7,170.89,145.81
Kyle Seager,Triple,6,L,8,2,0,null,null,null,1,2,158.71,41.03
Kyle Seager,Single,5,R,7,0,1,null,502523,443558,0,9,85.27,124.45
Kyle Seager,Home Run,4,R,8,3,0,null,429664,443558,1,4,151.26,26.79
Kyle Seager,Single,9,R,4,1,1,null,null,null,0,2,150.76,131.57
Kyle Seager,Single,7,R,8,1,1,null,null,null,1,2,101.52,107.15
Kyle Seager,Single,7,R,9,0,1,null,null,429664,2,4,173.68,93.61
Kyle Seager,Single,7,R,7,3,2,null,429664,443558,2,5,100.28,79.07
Kyle Seager,Double,8,L,8,1,2,572287,502523,493114,2,6,157.36,43.07
Kyle Seager,Home Run,3,L,9,3,2,null,null,null,2,5,227.92,92.91
Kyle Seager,Single,7,L,7,0,0,null,null,null,1,8,92.38,103.09
Kyle Seager,Single,4,R,7,0,1,null,443558,452252,1,15,76.13,125.47
Kyle Seager,Home Run,5,L,9,0,0,429664,452252,null,2,8,194.92,51.2
Kyle Seager,Single,7,R,8,1,0,null,null,452234,0,4,112.68,83.25
Kyle Seager,Single,2,R,5,0,2,null,null,null,2,5,106.08,166.16
Kyle Seager,Double,4,R,9,3,0,null,null,443558,1,7,205.39,121.42
Kyle Seager,Double,5,L,9,2,1,null,null,443558,2,10,205.58,111.22
Kyle Seager,Single,2,R,8,2,1,null,429664,443558,2,9,118.78,84.77
Kyle Seager,Single,4,R,7,0,1,null,null,null,1,2,71.06,108.17
Kyle Seager,Home Run,5,R,8,0,2,null,429664,443558,2,4,124.36,20.18
Kyle Seager,Single,2,R,8,0,2,null,null,443558,2,6,142.63,110.21
Kyle Seager,Double,8,R,9,1,1,null,null,null,2,8,173.09,72.57
Kyle Seager,Single,8,L,9,0,0,null,null,429664,2,4,174.61,99.02
Kyle Seager,Home Run,5,R,9,2,2,null,null,443558,0,4,231.98,57.31
Kyle Seager,Double,8,L,9,3,1,null,null,493193,1,2,162.94,42.05
Kyle Seager,Double,5,R,9,1,0,null,null,null,0,5,225.89,89.86
Kyle Seager,Single,5,L,9,3,2,null,null,493193,2,5,174.61,116.31
Kyle Seager,Single,8,R,9,2,0,null,null,452234,2,4,179.18,106.14
Kyle Seager,Double,4,R,7,0,1,null,null,null,0,9,33.49,101.56
Kyle Seager,Home Run,5,R,9,3,2,null,null,null,0,2,183.24,37.98
Kyle Seager,Single,8,L,7,1,0,null,null,null,0,7,82.23,61.38
Kyle Seager,Single,9,L,9,1,0,null,null,null,1,7,155.32,88.84
Kyle Seager,Home Run,6,L,9,2,2,null,null,null,0,4,222.33,71.55
Kyle Seager,Single,4,R,9,1,1,null,null,null,2,8,152.28,67.48
Kyle Seager,Double,5,R,7,0,1,null,null,null,2,4,71.06,54.76
Kyle Seager,Single,5,R,9,1,2,429664,null,null,1,6,176.65,122.41
Kyle Seager,Double,3,R,9,1,0,452234,429664,443558,1,6,198.48,68.67
Kyle Seager,Single,7,R,9,3,2,null,null,null,2,9,172.59,102.24
Kyle Seager,Single,4,L,1,0,0,null,null,null,1,3,115.74,184.64
Kyle Seager,Single,3,L,7,1,0,null,null,null,0,5,85.28,119.53
Kyle Seager,Single,7,R,9,3,2,null,429664,443558,2,1,162.44,109.36
Kyle Seager,Single,5,R,7,0,1,null,null,443558,2,5,83.25,112.41
Kyle Seager,Single,4,R,7,1,0,452234,null,443558,2,3,91.37,100.2
Kyle Seager,Double,4,R,7,3,2,null,null,null,1,7,65.99,65.11
Kyle Seager,Single,7,R,8,1,0,null,493114,443558,1,5,112.23,69.16
Kyle Seager,Single,8,L,8,0,1,null,null,null,1,1,138.08,97.15
Kyle Seager,Double,2,R,9,3,1,null,null,429664,1,6,218.28,103.25
Kyle Seager,Single,4,R,9,2,0,null,429664,443558,1,8,170.24,111.8
Kyle Seager,Home Run,4,L,9,0,2,429664,null,443558,1,5,195.65,46.75
Kyle Seager,Double,1,R,8,0,0,null,null,null,0,7,175.64,55.44
Kyle Seager,Single,3,R,9,1,2,null,null,null,1,2,177.67,114.44
Kyle Seager,Single,4,R,9,0,0,null,null,null,2,4,173.1,108.34
Kyle Seager,Single,5,L,9,0,0,null,null,null,0,2,165.49,105.8
Kyle Seager,Home Run,6,L,9,0,0,null,null,null,1,2,237.57,91.05
Kyle Seager,Single,5,L,4,1,0,null,null,429711,2,6,172.59,140.39
Kyle Seager,Single,5,R,8,0,0,null,null,null,1,9,124.37,104.27
Kyle Seager,Single,6,R,9,0,0,null,null,null,1,8,197.47,102.24
Kyle Seager,Single,1,R,7,0,0,null,null,null,0,9,87.43,99.81
Kyle Seager,Double,6,R,9,2,1,null,null,null,2,4,211.11,77.72
Kyle Seager,Double,8,R,9,1,0,null,null,null,2,8,173.73,66.04
Kyle Seager,Home Run,6,R,9,0,1,null,443558,452252,2,1,204.07,55.44
Kyle Seager,Single,4,R,7,1,1,null,null,null,2,5,73.1,106.31
Kyle Seager,Home Run,5,R,9,3,1,null,null,null,1,4,169.55,34.59
Kyle Seager,Single,6,R,4,0,0,null,null,443558,2,6,155.34,139.88
Kyle Seager,Single,4,R,8,2,2,null,null,493114,1,6,133,93.59
Kyle Seager,Home Run,5,L,9,1,0,null,null,null,0,2,167.52,33.06
Leonys Martin,Single,9,R,8,1,1,572122,null,452252,0,2,123.85,98
Leonys Martin,Single,4,R,9,1,0,null,572122,452252,2,4,185.27,109.7
Leonys Martin,Single,1,L,7,0,1,null,null,452252,1,6,90.35,116.31
Leonys Martin,Single,5,R,9,2,2,null,null,452252,0,2,187.31,108.17
Leonys Martin,Single,5,R,4,0,0,null,null,502523,1,10,137.05,161.07
Leonys Martin,Home Run,4,R,9,2,2,null,null,502523,2,9,185.27,44.59
Leonys Martin,Single,1,R,9,0,0,null,null,null,0,4,191.37,94.64
Leonys Martin,Single,7,R,8,2,1,null,null,null,0,2,152.2,80.28
Leonys Martin,Single,7,L,8,3,2,null,null,null,0,8,148.56,128.15
Leonys Martin,Double,4,R,8,2,1,null,null,null,1,4,103.72,76.04
Leonys Martin,Single,9,L,8,1,1,null,572122,493193,0,4,114.71,109.19
Leonys Martin,Single,4,L,8,0,0,null,null,null,2,2,125.88,98
Leonys Martin,Single,4,R,9,1,0,null,null,null,1,9,156.34,66.97
Leonys Martin,Double,9,L,9,0,0,null,null,493193,2,1,207.61,117.33
Leonys Martin,Single,4,R,7,1,1,null,null,null,0,7,63.44,134.62
Leonys Martin,Single,8,R,9,1,1,null,null,null,2,4,205.07,115.29
Leonys Martin,Single,7,L,9,0,1,572122,null,493193,1,5,179.18,123.94
Leonys Martin,Double,5,L,9,1,0,null,null,null,0,1,202.03,83.76
Leonys Martin,Single,3,L,5,0,0,null,502523,606466,0,3,121.82,195.15
Leonys Martin,Single,5,L,8,0,0,443558,452252,572287,1,6,115.73,94.95
Leonys Martin,Single,4,R,8,0,1,null,null,null,2,4,145.17,92.91
Leonys Martin,Double,5,R,7,3,1,null,null,null,0,3,39.08,109.19
Leonys Martin,Single,8,R,9,0,0,null,null,455104,0,4,169.54,114.28
Leonys Martin,Home Run,5,R,8,2,2,null,null,null,0,7,118.78,17.63
Leonys Martin,Single,1,R,7,0,0,null,572287,null,2,2,75.43,106.34
Leonys Martin,Single,5,R,9,2,2,null,null,null,1,6,203.57,83.31
Leonys Martin,Single,4,R,2,0,0,null,null,null,0,5,117.76,192.61
Leonys Martin,Single,5,L,8,1,1,null,null,null,2,5,148.22,84.77
Leonys Martin,Double,8,L,8,1,1,502523,null,493114,2,8,84.26,67.48
Leonys Martin,Double,7,L,7,2,2,null,null,null,1,2,62.94,118.34
Leonys Martin,Single,8,L,9,0,1,null,null,null,0,4,170.84,97.79
Leonys Martin,Single,7,L,9,3,2,null,null,null,1,3,170.55,140.22
Leonys Martin,Single,1,R,5,2,2,null,null,null,2,7,91.36,162.09
Leonys Martin,Single,5,R,1,0,1,null,455104,606466,0,3,122.84,184.47
Leonys Martin,Single,9,R,9,1,2,null,null,null,1,3,177.66,127.5
Leonys Martin,Single,4,L,7,2,2,null,null,null,0,6,79.18,102.07
Leonys Martin,Single,5,R,9,2,1,null,null,null,0,1,180.71,109.19
Leonys Martin,Single,2,L,9,0,0,null,606466,null,2,8,190.86,143.78
Leonys Martin,Single,7,L,9,1,0,null,null,null,2,5,192.89,96.98
Leonys Martin,Single,1,R,6,1,0,null,null,null,0,1,103.55,152.93
Leonys Martin,Single,4,R,9,1,1,null,null,null,0,3,181.21,104.1
Leonys Martin,Single,4,R,9,0,0,null,455104,null,2,7,184.78,112.94
